Austria,de,Riders,,
,,,,
,,,,
,,,,
,,,,
ofo.com copy deck for translations: Austria,,,,
,,,,
,,,,
This copy deck provides all of the text currently on ofo.com as of December 2017.,,,,
"Text can be amended if necessary to make it relevant for your market, however where possible, please keep the text, tone and style consistent with the English language content. Please double click on all cells to reveal full text.",,,,
,,To be translated ,Translation,Translation
Website Page,Page Section,English (US),English,German (Austria)
Homepage                                       (staging.ofo-site.com),Page,Riders,,
,Header Text,choose a better bikeshare,,Entscheide dich für die Besten
,,"With ofo, you pick up a bike, get where you're going, and leave it there. No docking stations, no walking the rest of the way. Because that's what a bike share is supposed to be.
 ",,"Mit ofo nimmst du dir ein Fahrrad, kommst entspannt an und stellst es einfach wieder ab. Keine fixen Stationen, keine zusätzlichen Wege zu Fuß. So geht Bikesharing richtig."
,Content Block 1 Title,grab a bike anywhere. park a bike anywhere.                                                                                         ,,Leih/Schnapp dir ein Fahrrad von überall. Parke das Fahrrad überall.
,,"With station-free bike sharing, you can ride wherever you please. All you have to do is park your bike legally.",,"Mit stationsfreiem Bikesharing kannst du fahren, wo auch immer du hin möchtest. Alles was du danach tun musst, ist das Fahrrad wieder legal zu parken."
,Call to Action,start riding ofo today                                                                                               ,,Gleich heute losfahren
,, Download on,,Los geht's
,Content Block 2,riding ofo couldn't be easier,,ofo fahren ganz einfach
,,Find it. Scan it. Ride it. Lock it.,,Finden. Scannen. Fahren. Absperren.
,How-to 1,find a bike,,Finde ein Fahrrad.
,,Open the app and find all the bikes around you.,,Öffne die App und finde alle Fahrräder in deiner Nähe.
,How-to 2,tap and scan,,Tippen und Scannen
,,"When you’re at the bike, tap the “unlock” button and scan the barcode to automatically unlock the bike.",,"Tippe den ""Entsperren"" Button und scanne den Barcode direkt vom Fahhrad ein. Das Schloss sperrt automatisch auf."
,How-to 3,enjoy the ride,,Genieße die Fahrt
,,Explore your city and arrive at your destination safely,,Entdecke deine Stadt und komm sicher am Ziel an.
,How-to 4,park and lock,,Parken und absperren
,,"At your destination, simply park your bike safely and legally, and manually lock it to automatically end the trip.",,"Angekommen am Ziel, parke einfach dein Fahrrad sicher und legal, sowie sperre es manuell ab um deine Fahrt automatisch zu beenden."
,Content Block 3,the best deal around,,Der Beste Deal der Stadt
,,only $1/hour,,Nur 1€/Stunde
,Content Block 4,you're safe with us,,Mit uns bist du sicher
